date,trial,test,type,type_detail,feed,attack,tail,court,cop
28-Mar-18,09-2018,M/MLF,Other,Other,0,0,0,0,0
2-Apr-18,12-2018,M/MLF,Other,Other,0,0,0,0,0
5-Apr-18,15-2018,M/MLF,Other,AmabilisF,M,0,M,0,0
10-Apr-18,18-2018,M/MLF,Other,Amabilis,M,0,0,0,0
13-Apr-18,21-2018,M/MLF,Other,Other,0,0,0,0,0
16-Apr-18,24-2018,M/MLF,Other,Lepidopyga,MLF,0,0,0,0
20-Apr-18,27-2018,M/MLF,Other,Damophila,MLF,0,0,0,0
23-Apr-18,30-2018,M/MLF,Other,Damophila ,MLF,0,0,0,0
19/03/2019,12-2019,M/MLF,Other,Other,0,0,0,0,0
19/03/2019,13-2019,M/MLF,Other,Other,0,0,0,0,0
22/03/2019,17-2019,M/MLF,Other,Amabilis ,MLF,0,0,0,0
22/03/2019,18-2019,M/MLF,Other,Dam(F) ,MLF,0,0,0,0
27/03/2019,21-2019,M/MLF,Other,Mango(F) ,MLF,0,0,0,0
27/03/2019,22-2019,M/MLF,Other,Other,0,0,0,0,0
1/04/2019,27-2019,M/MLF,Other,Other,0,0,0,0,0
1/04/2019,28-2019,M/MLF,Other,Other,0,0,0,0,0
3/04/2019,29-2019,M/MLF,Other,Amabilis,M,0,0,0,0
3/04/2019,30-2019,M/MLF,Other,Damophila(M),MLF,0,0,0,0
11/04/2019,31-2019,M/MLF,Other,Other,0,0,0,0,0
11/04/2019,32-2019,M/MLF,Other,Other,0,0,0,0,0
17/04/2019,33-2019,M/MLF,Other,Amabilis(M) ,M,0,M,0,0
17/04/2019,34-2019,M/MLF,Other,Amabilis,M,0,0,0,0
18/04/2019,35-2019,M/MLF,Other,Amabilis ,M,0,0,0,0
18/04/2019,36-2019,M/MLF,Other,Other,0,0,0,0,0
SECOND FROM 07-MAR-2017,,M/MLF,Other,Other,0,0,0,0,0
SECOND FROM 2019-04-01,28-2019,M/MLF,Other,Other,0,0,0,0,0
SECOND FROM 2019-04-17,33-2019,M/MLF,Other,Other,0,0,0,0,0
SECOND FROM 2019-04-18,35-2019,M/MLF,Other,Other,0,0,0,0,0
SECOND FROM 22/03/2019,17-2019,M/MLF,Other,Other,0,0,0,0,0
